Daerah,provinsi,sumDesa,danadesa,tahun,miskin,miskin_perc,populasi,ipm,pdrb_tani,pdrb_growth
Kab. Lebak,Banten,340,53680341,2015,126.42,9.97,1268.004012,62.03,4436.2,6.2
Kab. Pandeglang,Banten,326,51469974,2015,124.42,10.43,1192.905081,62.72,5067.2,5.81
Kab. Serang,Banten,326,51469974,2015,74.85,5.09,1470.530452,64.61,3954.27,5.09
Kab. Tangerang,Banten,246,38839306,2015,191.12,5.71,3347.110333,70.05,4784.9,5.6
Kab. Bandung,Jawa Barat,270,54265335,2015,281.04,8,3513,70.04803077,4863.23,5.89
Kab. Bandung Barat,Jawa Barat,165,33162149,2015,205.69,12.67,1623.4412,65.23241219,3352.65,5.03
Kab. Bekasi,Jawa Barat,180,36578856,2015,169.2,5.27,3210.626186,71.19224315,2338.15,4.46
Kab. Bogor,Jawa Barat,417,83206847,2015,487.1,8.96,5436.383929,67.76698298,6396.02,6.09
Kab. Ciamis,Jawa Barat,258,70544936,2015,104.87,8.98,1167.817372,68.0150279,3918.6,5.59
Kab. Cianjur,Jawa Barat,354,71147884,2015,273.9,12.21,2243.243243,62.42151538,8070.82,5.45
Kab. Cirebon,Jawa Barat,412,82804882,2015,313.21,14.77,2120.582261,66.0674622,4112.44,4.88
Kab. Garut,Jawa Barat,421,84613726,2015,325.67,12.81,2542.310695,63.20881182,11197.71,4.51
Kab. Indramayu,Jawa Barat,309,62103661,2015,253.12,14.98,1689.719626,64.35614634,8040.7,2.16
Kab. Karawang,Jawa Barat,297,59691869,2015,235.03,10.37,2266.441659,67.66450553,4647.33,4.5
Kab. Kuningan,Jawa Barat,361,72353780,2015,147.21,13.97,1053.758053,67.19063337,2900.32,6.38
Kab. Majalengka,Jawa Barat,330,66324298,2015,167.5,14.19,1180.408739,64.74818795,3916.56,5.33
Kab. Pangandaran,Jawa Barat,93,1,2015,41.97,10.76,390.0557621,65.61721089,1614.53,4.98
Kab. Purwakarta,Jawa Barat,183,36779838,2015,83.94,9.14,918.380744,67.84261654,2459.47,4.76
Kab. Subang,Jawa Barat,245,49240767,2015,187.17,12.27,1525.427873,66.52089554,6354.94,5.29
Kab. Sukabumi,Jawa Barat,381,73157711,2015,217.86,8.96,2431.473214,64.43620686,7721.98,4.91
Kab. Sumedang,Jawa Barat,270,54466318,2015,129.03,11.36,1135.827465,69.28696817,3490.45,5.25
Kab. Tasikmalaya,Jawa Barat,351,70544936,2015,208.12,11.99,1735.779817,63.166864,7073.8,4.31
Kota Banjar,Jawa Tengah,16,3215724,2015,13.42,7.41,181.1066127,69.3076422,331.33,5.32
Kab. Banjarnegara,Jawa Tengah,266,36300832,2015,165.36,18.37,900.1633097,64.73,3766.63,5.47
Kab. Banyumas,Jawa Tengah,301,41077258,2015,285.85,17.52,1631.563927,69.89,4131.29,6.12
Kab. Batang,Jawa Tengah,239,32616161,2015,83.53,11.27,741.1712511,65.46,2707.28,5.42
Kab. Blora,Jawa Tengah,271,36983179,2015,115.05,13.52,850.9615385,66.22,3242.36,5.36
Kab. Boyolali,Jawa Tengah,261,35618486,2015,119.97,12.45,963.6144578,71.74,4053.72,5.96
